,Date,Review,Sentiment
0,2018-09-30 19:39:00,growing food faith impoverished brazil ben demblowski brazil poverty pic habyykp,0
1,2018-09-30 19:37:00,yrs vietnam poverty emerging market ans oi moi series eco political reforms trade liberalization deregulation lowering cost bus heavy investment human physical capital att png pacific,-1
2,2018-09-30 19:37:00,politics poverty officials grapple works doesnt accountability phled,-1
3,2018-09-30 19:29:00,talking kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer,-1
4,2018-09-30 19:24:00,raiders poverty,-1
5,2018-09-30 19:23:00,believe world gone bonkers need evolve better humans follow injustice poverty famine violence violenceagainstwomen lgbtqtwiter equalityforall sexism racism inequality,-1
6,2018-09-30 19:13:00,even breathing risk one orlando poorest neighborhoods poverty pollution airquality cleanair florida environment publichealthpic avrqvtwe,-1
7,2018-09-30 19:09:00,maybe time rethink idea know better people need workingfamiliestaxcredit talkpoverty poverty,0
8,2018-09-30 19:00:00,volunteer big bros big sisters many american kids living inhumane conditions noses poverty kidsdeserveit fearlesspic idddhniq,-1
9,2018-09-30 19:00:00,americas children brief key national indicators well forum child family statistics kids poverty health wellness safety economy childcare education uclacenterx justnews uclagseispic utkitllma,1
10,2018-09-30 18:56:00,ism ite ology cameron grave yard politics pic pnrqbos libdem maximus atos tory homeless pip esa poverty mayhemism satire,-1
11,2018-09-30 18:55:00,jesus mention anything lgbtq people politics news government evangelicals evangelicalism church christians christianity poverty poorpeoplescampaign poor gop capitalism socialism usa america canada uk europe pic ulnsfpv,-1
12,2018-09-30 18:53:00,six months ago march still performed spain helped action hunger sale merch tell us help provided current projects treatpeoplewithkindness madrid poverty help solidarity,0
13,2018-09-30 18:50:00,fucks sake concentrate something important utter fucking doughnut assortment toriesout poverty,-1
14,2018-09-30 18:49:00,christianity cannot saved politics news government lgbtq evangelicalism christians christianity poverty poor gop capitalism socialism usa america canada uk europe australia newzealand,-1
15,2018-09-30 18:48:00,conservatives look mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe australia newzealand,-1
16,2018-09-30 18:48:00,everyones basic needs met government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe australia newzealand,-1
17,2018-09-30 18:45:00,poverty design everyday reading post new buildings going catering homeless youth housing time high support education investments house programming buildsrelationships poverty resources,-1
18,2018-09-30 18:43:00,deep poverty bc government canand shouldend pwd poverty bcpoli wfrzbmpiso twitter via ccpa bc,-1
19,2018-09-30 18:43:00,neoliberalism failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe australia,-1
20,2018-09-30 19:39:00,growing food faith impoverished brazil ben demblowski brazil poverty pic habyykp,0
21,2018-09-30 19:37:00,yrs vietnam poverty emerging market ans oi moi series eco political reforms trade liberalization deregulation lowering cost bus heavy investment human physical capital att png pacific,-1
22,2018-09-30 19:37:00,politics poverty officials grapple works doesnt accountability phled,-1
23,2018-09-30 19:29:00,talking kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer,-1
24,2018-09-30 19:24:00,raiders poverty,-1
25,2018-09-30 19:23:00,believe world gone bonkers need evolve better humans follow injustice poverty famine violence violenceagainstwomen lgbtqtwiter equalityforall sexism racism inequality,-1
26,2018-09-30 19:13:00,even breathing risk one orlando poorest neighborhoods poverty pollution airquality cleanair florida environment publichealthpic avrqvtwe,-1
27,2018-09-30 19:09:00,maybe time rethink idea know better people need workingfamiliestaxcredit talkpoverty poverty,0
28,2018-09-30 19:00:00,volunteer big bros big sisters many american kids living inhumane conditions noses poverty kidsdeserveit fearlesspic idddhniq,-1
29,2018-09-30 19:00:00,americas children brief key national indicators well forum child family statistics kids poverty health wellness safety economy childcare education uclacenterx justnews uclagseispic utkitllma,1
30,2018-09-30 18:56:00,ism ite ology cameron grave yard politics pic pnrqbos libdem maximus atos tory homeless pip esa poverty mayhemism satire,-1
31,2018-09-30 18:55:00,jesus mention anything lgbtq people politics news government evangelicals evangelicalism church christians christianity poverty poorpeoplescampaign poor gop capitalism socialism usa america canada uk europe pic ulnsfpv,-1
32,2018-09-30 18:53:00,six months ago march still performed spain helped action hunger sale merch tell us help provided current projects treatpeoplewithkindness madrid poverty help solidarity,0
33,2018-09-30 18:50:00,fucks sake concentrate something important utter fucking doughnut assortment toriesout poverty,-1
34,2018-09-30 18:49:00,christianity cannot saved politics news government lgbtq evangelicalism christians christianity poverty poor gop capitalism socialism usa america canada uk europe australia newzealand,-1
35,2018-09-30 18:48:00,conservatives look mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe australia newzealand,-1
36,2018-09-30 18:48:00,everyones basic needs met government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe australia newzealand,-1
37,2018-09-30 18:45:00,poverty design everyday reading post new buildings going catering homeless youth housing time high support education investments house programming buildsrelationships poverty resources,-1
38,2018-09-30 18:43:00,deep poverty bc government canand shouldend pwd poverty bcpoli wfrzbmpiso twitter via ccpa bc,-1
39,2018-09-30 18:43:00,neoliberalism failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe australia,-1
40,2018-09-30 19:39:00,growing food faith impoverished brazil ben demblowski brazil poverty pic habyykp,0
41,2018-09-30 19:37:00,yrs vietnam poverty emerging market ans oi moi series eco political reforms trade liberalization deregulation lowering cost bus heavy investment human physical capital att png pacific,-1
42,2018-09-30 19:37:00,politics poverty officials grapple works doesnt accountability phled,-1
43,2018-09-30 19:29:00,talking kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer,-1
44,2018-09-30 19:24:00,raiders poverty,-1
45,2018-09-30 19:23:00,believe world gone bonkers need evolve better humans follow injustice poverty famine violence violenceagainstwomen lgbtqtwiter equalityforall sexism racism inequality,-1
46,2018-09-30 19:13:00,even breathing risk one orlando poorest neighborhoods poverty pollution airquality cleanair florida environment publichealthpic avrqvtwe,-1
47,2018-09-30 19:09:00,maybe time rethink idea know better people need workingfamiliestaxcredit talkpoverty poverty,0
