,Date,Tweets
0,date,text
1,2018-09-30 19:39,"""Growing Food and Faith in Impoverished Brazil – Ben Demblowski – https://worldpovertysolutions.org/growing-food-faith-impoverished-brazil/?utm_campaign=update&utm_medium=wc-tweet&utm_source=Twitter … # Brazil # poverty pic.twitter.com/3hab9YYk7P"""
2,2018-09-30 19:37,"""In 30yrs, Vietnam from # poverty to an emerging market. Ans: “Đổi Mới”, a series of eco & political reforms. 1]trade liberalization 2]deregulation & lowering the cost of doing bus. 3]heavy investment in human & physical capital. Att: # PNG & # Pacific.https://www.weforum.org/agenda/2018/09/how-vietnam-became-an-economic-miracle?utm_source=Facebook%20Videos&utm_medium=Facebook%20Videos&utm_campaign=Facebook%20Video%20Blogs …"""
3,2018-09-30 19:37,"""The Politics of # Poverty: Officials grapple with what works and what doesn’t # Accountability # PHLEdhttp://www.phillytrib.com/news/the-politics-of-poverty-officials-grapple-with-what-works-and/article_560fbb5f-a61e-5532-9ec2-a65fe971ae6b.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …"""
4,2018-09-30 19:29,"""Not just talking, doing. # kenyalendahand # kenya # nairobi # kibera # jambo # africa # streetchildren # humanrights # street # children # humanity # education # ngo # poverty # activism # volunteer… https://www.instagram.com/p/BoXmTLmnCim/?utm_source=ig_twitter_share&igshid=8l8z7ra1xhmx …"""
5,2018-09-30 19:24,"""Raiders 0 - 4 # Poverty"""
6,2018-09-30 19:23,"""For all those who believe the world has gone bonkers and we need to evolve into better humans, follow up! # injustice # poverty # famine # violence # ViolenceAgainstWomen # LGBTQTwiter # EqualityForAll # sexism # racism # inequality"""
7,2018-09-30 19:13,"""Even # Breathing Is A Risk In One Of # Orlando's Poorest Neighborhoods https://buff.ly/2xzxJIn # Poverty # Pollution # AirQuality # cleanair # Florida # environment # publichealthpic.twitter.com/7aVRQVTW0e"""
8,2018-09-30 19:09,"""""Maybe it's time to rethink the idea that we know better what other people need."" # workingfamiliestaxcredit # talkpoverty # poverty https://twitter.com/DScottLA/status/1046462738451521536 …"""
9,2018-09-30 19:00,"""This is why I volunteer with Big Bros Big Sisters. So many American kids are living in inhumane conditions under our noses. # Poverty # KidsDeserveIt # 261Fearlesspic.twitter.com/Id9Ddh2Niq"""
10,2018-09-30 19:00,"""America’s # children in brief: Key national indicators of well-being, 2018 https://bit.ly/2QlTvWH Forum on Child and Family Statistics # kids # poverty # health # wellness # safety # economy # childcare # education # UCLACenterX # JustNews # UCLAGSEISpic.twitter.com/Utk2ITllMa"""
11,2018-09-30 18:56,"""Ism ite ology. cameron grave yard politics pic.twitter.com/93PNRQBO6S # libdem # Maximus # Atos # tory # homeless # pip # esa # poverty # Mayhemism # satire"""
12,2018-09-30 18:55,"""“Not once does # Jesus mention anything about # LGBTQ people” # politics # news # government # Evangelicals # evangelicalism # church # Christians # Christianity # poverty # PoorPeoplesCampaign # poor # gop # capitalism # socialism # USA # America # canada # uk # europe https://medium.com/@chrisoldcorn/evangelicals-are-venomous-snakes-d58c2d712d78 …pic.twitter.com/ulN64sFP6v"""
